attempts,season,epa_per_play_raw,total_epa_raw,success_rate_raw,epa_per_play_adj,avg_opponent_sp_defense,sos_percentile,big_play_rate,third_down_epa,third_down_attempts,red_zone_epa,red_zone_attempts,high_leverage_epa,high_leverage_rate,scoring_play_rate,player_name,draft_year,college,seasons_played
1033,2007,0.1446363100708108,149.40930830314755,0.46563407550822844,0.1446363100708108,27.040000000000003,50.0,0.15779283639883834,,0,0.22245462824789325,89,0.22245462824789325,0.08615682478218781,0.05227492739593417,Jake Locker,2011,Washington,4
983,2007,0.22298477454791235,219.19403338059783,0.4649033570701933,0.22298477454791235,27.040000000000003,50.0,0.18413021363173956,,0,0.047885732607798534,111,0.047885732607798534,0.11291963377416073,0.06205493387589013,Nathan Enderle,2011,Idaho,4
552,2009,0.24289412885580375,134.07755912840366,0.5,0.24289412885580375,25.536666666666665,50.0,0.21014492753623187,,0,0.0760018030802409,66,0.0760018030802409,0.11956521739130435,0.06884057971014493,Ricky Stanzi,2011,Iowa,2
748,2009,0.3285114892041261,245.7265939246863,0.5040106951871658,0.3285114892041261,25.536666666666665,50.0,0.25267379679144386,,0,0.6020350757686571,87,0.6020350757686571,0.1163101604278075,0.08155080213903744,Ryan Mallett,2011,Arkansas,2
877,2007,0.13773598935467826,120.79446266405284,0.45153933865450396,0.13773598935467826,27.040000000000003,50.0,0.19156214367160776,,0,-0.2339977272625627,87,-0.2339977272625627,0.09920182440136831,0.052451539338654506,Tyrod Taylor,2011,Virginia Tech,4
947,2009,0.43114184085456725,408.29132328927517,0.587117212249208,0.43114184085456725,25.536666666666665,50.0,0.23231256599788808,,0,0.20652866293402278,170,0.20652866293402278,0.1795142555438226,0.08658922914466737,Andrew Luck,2012,Stanford,3
1019,2008,0.29682941334111884,302.4691721946001,0.5701668302257115,0.29682941334111884,25.389999999999997,50.0,0.20215897939156036,,0,0.14822955389280576,148,0.14822955389280576,0.1452404317958783,0.0745829244357213,Brandon Weeden,2012,Oklahoma State,4
634,2009,0.20605645131331513,130.6397901326418,0.49053627760252366,0.20605645131331513,25.536666666666665,50.0,0.19085173501577288,,0,0.19702287463398724,77,0.19702287463398724,0.12145110410094637,0.052050473186119876,Brock Osweiler,2012,Arizona State,3
1041,2008,0.32697440481831486,340.3803554158658,0.5360230547550432,0.32697440481831486,25.389999999999997,50.0,0.19020172910662825,,0,0.4812960156008729,117,0.4812960156008729,0.11239193083573487,0.0643611911623439,Kirk Cousins,2012,Michigan State,4
1271,2009,0.3048963165767989,387.5232183691114,0.5531077891424075,0.3048963165767989,25.536666666666665,50.0,0.15892997639653816,,0,0.1407269537448883,156,0.1407269537448883,0.12273800157356413,0.05035405192761605,Nick Foles,2012,Arizona,3
917,2009,0.2820400452503331,258.6307214945555,0.5059978189749182,0.2820400452503331,25.536666666666665,50.0,0.17993456924754633,,0,-0.25524009507277917,87,-0.25524009507277917,0.09487459105779716,0.06870229007633588,Robert Griffin III,2012,Baylor,3
310,2011,0.5080847397146205,157.50626931153238,0.6,0.5080847397146205,26.81833333333333,50.0,0.24838709677419354,,0,0.9390998421883097,49,0.9390998421883097,0.15806451612903225,0.10967741935483871,Russell Wilson,2012,Wisconsin,1
1468,2008,0.27024091229703,396.7136592520401,0.48637602179836514,0.27024091229703,25.389999999999997,50.0,0.19618528610354224,,0,0.045430134870335016,167,0.045430134870335016,0.11376021798365123,0.05858310626702997,Ryan Lindley,2012,San Diego State,4
701,2008,0.23568225152439806,165.21325831860304,0.5263908701854494,0.23568225152439806,25.389999999999997,50.0,0.16547788873038516,,0,0.49702926935293734,78,0.49702926935293734,0.11126961483594865,0.05991440798858773,Ryan Tannehill,2012,Texas A&M,4
699,2011,0.15261970678922615,106.68117504566908,0.5264663805436338,0.15261970678922615,26.81833333333333,50.0,0.1988555078683834,,0,0.02128985769608442,85,0.02128985769608442,0.12160228898426323,0.060085836909871244,EJ Manuel,2013,Florida State,2
1406,2009,0.21660996161025034,304.55360602401197,0.5071123755334281,0.21660996161025034,25.536666666666665,50.0,0.17852062588904694,,0,0.10603732447470388,186,0.10603732447470388,0.13229018492176386,0.07254623044096728,Geno Smith,2013,West Virginia,4
1963,2009,0.2956002356709416,580.2632626220584,0.5420275089149261,0.2956002356709416,25.536666666666665,50.0,0.18644931227712686,,0,0.3124155152369948,272,0.3124155152369948,0.13856342333163527,0.06316861946001019,Landry Jones,2013,Oklahoma,4
1441,2009,0.2715459715815404,391.2977450489998,0.5163081193615545,0.2715459715815404,25.536666666666665,50.0,0.1970853573907009,,0,0.1623934781607328,213,0.1623934781607328,0.14781401804302569,0.08049965301873699,Matt Barkley,2013,USC,4
1034,2009,0.10700418349766178,110.64232573658228,0.45164410058027077,0.10700418349766178,25.536666666666665,50.0,0.13539651837524178,,0,0.23081270435400175,114,0.23081270435400175,0.1102514506769826,0.06382978723404255,Mike Glennon,2013,NC State,4
1261,2009,0.14418572071617694,181.81819382309914,0.4726407613005551,0.14418572071617694,25.536666666666665,50.0,0.176050753370341,,0,0.04090638216151748,172,0.04090638216151748,0.13639968279143536,0.05551149881046788,Ryan Nassib,2013,Syracuse,4
879,2008,0.23657764484141705,207.95174981560558,0.5062571103526735,0.23657764484141705,25.389999999999997,50.0,0.20819112627986347,,0,-0.0688139294584592,120,-0.0688139294584592,0.13651877133105803,0.05915813424345848,Tyler Wilson,2013,Arkansas,5
938,2011,0.29583527711726454,277.49348993599415,0.511727078891258,0.29583527711726454,26.81833333333333,50.0,0.21641791044776118,,0,0.24841493108998175,115,0.24841493108998175,0.12260127931769722,0.07889125799573561,AJ McCarron,2014,Alabama,3
1411,2010,0.3572728584878923,504.112003326416,0.5350815024805102,0.3572728584878923,26.685833333333335,50.0,0.21970233876683204,,0,0.3247131880960966,190,0.3247131880960966,0.1346562721474132,0.08717221828490432,Aaron Murray,2014,Georgia,4
870,2011,0.32110436802794196,279.3608001843095,0.5413793103448276,0.32110436802794196,26.81833333333333,50.0,0.20114942528735633,,0,0.460082483291626,120,0.460082483291626,0.13793103448275862,0.06321839080459771,Blake Bortles,2014,UCF,3
1513,2009,0.2342063954416404,354.3542763032019,0.5029742233972241,0.2342063954416404,25.536666666666665,50.0,0.18704560475875742,,0,0.1964164877412331,201,0.1964164877412331,0.13284864507600794,0.07270323859881031,Derek Carr,2014,Fresno State,4
144,2011,0.2610867793361346,37.59649622440338,0.4722222222222222,0.2610867793361346,26.81833333333333,50.0,0.2013888888888889,,0,1.4928146362304688,10,1.4928146362304688,0.06944444444444445,0.0763888888888889,Jimmy Garoppolo,2014,Eastern Illinois,3
800,2012,0.4371345525700599,349.7076420560479,0.5675,0.4371345525700599,27.554032258064517,50.0,0.2375,,0,0.46754137837156956,98,0.46754137837156956,0.1225,0.07875,Johnny Manziel,2014,Texas A&M,2
1153,2010,0.1965394162177936,226.60994689911604,0.46313963573287076,0.1965394162177936,26.685833333333335,50.0,0.18473547267996532,,0,0.11576450202200148,108,0.11576450202200148,0.09366869037294015,0.046834345186470075,Logan Thomas,2014,Virginia Tech,4
1134,2011,0.3247545968143292,368.27171278744936,0.5388007054673721,0.3247545968143292,26.81833333333333,50.0,0.1984126984126984,,0,0.39202141761779785,114,0.39202141761779785,0.10052910052910052,0.06437389770723104,Teddy Bridgewater,2014,Louisville,3
1224,2012,0.23583320113434608,288.6598381884396,0.5130718954248366,0.23583320113434608,27.554032258064517,50.0,0.17401960784313725,,0,0.28746262805102624,146,0.28746262805102624,0.119281045751634,0.058823529411764705,Brett Hundley,2015,UCLA,3
782,2011,0.42356772856105623,331.229963734746,0.5396419437340153,0.42356772856105623,26.81833333333333,50.0,0.21739130434782608,,0,0.0673790726906214,78,0.0673790726906214,0.09974424552429667,0.08184143222506395,Bryce Petty,2015,Baylor,4
