season,week,season_type,home_team,away_team,home_division,away_division,completed
2003,3,regular,Sam Houston,Midwestern State,fcs,,True
2003,3,regular,Towson,Lock Haven University,fcs,,True
2003,3,regular,Florida A&M,Morgan State,,fcs,True
2003,3,regular,Siena,Iona,fcs,fcs,True
2003,3,regular,Kansas,UNLV,fbs,fbs,True
2003,3,regular,Texas State,Angelo State,fcs,,True
2003,3,regular,Pittsburgh,Kent State,fbs,fbs,True
2003,3,regular,Jackson State,North Carolina A&T,fcs,fcs,True
2003,3,regular,Kansas State,McNeese,fbs,fcs,True
2003,3,regular,Florida State,Maryland,fbs,fbs,True
2003,3,regular,Alabama A&M,Tennessee State,fcs,fcs,True
2003,3,regular,Idaho,Eastern Washington,fbs,fcs,True
2003,3,regular,Hofstra,Maine,fcs,fcs,True
2003,3,regular,Southeast Missouri State,Southern Illinois,fcs,fcs,True
2003,3,regular,Alabama,Oklahoma,fbs,fbs,True
2003,3,regular,Western Kentucky,West Virginia Institute Of Tech,fcs,,True
2003,3,regular,UL Monroe,Stephen F. Austin,fbs,fcs,True
2003,3,regular,Tulane,Northwestern State,fbs,fcs,True
2003,3,regular,New Mexico State,Western New Mexico,fbs,,True
2003,3,regular,Miami,Florida,fbs,fbs,True
2003,3,regular,USC,BYU,fbs,fbs,True
2003,3,regular,Texas Southern,Howard,fcs,fcs,True
2003,3,regular,Texas A&M,Utah,fbs,fbs,True
2003,3,regular,Alabama State,Bethune-Cookman,fcs,fcs,True
2003,3,regular,Louisiana,Louisiana Tech,fbs,fbs,True
2003,3,regular,North Texas,Baylor,fbs,fbs,True
2003,3,regular,Boise State,Idaho State,fbs,fcs,True
2003,3,regular,Minnesota,Troy,fbs,fbs,True
2003,3,regular,UTEP,Cal Poly,fbs,fcs,True
2003,3,regular,Arizona State,Northern Arizona,fbs,fcs,True
2003,3,regular,Stanford,San José State,fbs,fbs,True
2003,3,regular,Arizona,LSU,fbs,fbs,True
2003,4,regular,St. Peter's,Marist,fcs,fcs,True
2003,4,regular,Utah,California,fbs,fbs,True
2003,4,regular,UT Martin,East Tennessee State,fcs,fcs,True
2003,4,regular,Marshall,Toledo,fbs,fbs,True
2003,4,regular,Northwestern,Miami (OH),fbs,fbs,True
2003,4,regular,UConn,Boston College,fbs,fbs,True
2003,4,regular,Texas,Arkansas,fbs,fbs,True
2003,4,regular,Howard,Hampton,fcs,fcs,True
2003,4,regular,West Virginia,Cincinnati,fbs,fbs,True
2003,4,regular,New Hampshire,Villanova,fcs,fcs,True
2003,4,regular,Wake Forest,Purdue,fbs,fbs,True
2003,4,regular,Rhode Island,Northeastern,fcs,fcs,True
2003,4,regular,Wisconsin,UNLV,fbs,fbs,True
2003,4,regular,Ohio State,NC State,fbs,fbs,True
2003,4,regular,Michigan State,Louisiana Tech,fbs,fbs,True
2003,4,regular,Towson,Lafayette,fcs,fcs,True
2003,4,regular,Iowa State,Iowa,fbs,fbs,True
2003,4,regular,Vanderbilt,Auburn,fbs,fbs,True
2003,4,regular,Pittsburgh,Ball State,fbs,fbs,True
2003,4,regular,VMI,William & Mary,fcs,fcs,True
2003,4,regular,Morgan State,South Carolina State,fcs,fcs,True
2003,4,regular,Lehigh,Fordham,fcs,fcs,True
2003,4,regular,Iona,Wagner,fcs,fcs,True
2003,4,regular,Monmouth,Robert Morris,fcs,fcs,True
2003,4,regular,La Salle,Geneva,fcs,,True
2003,4,regular,Central Michigan,Eastern Kentucky,fbs,fcs,True
2003,4,regular,Sacred Heart,St. Francis (PA),fcs,fcs,True
2003,4,regular,Holy Cross,Georgetown,fcs,fcs,True
2003,4,regular,Charleston Southern,Presbyterian,fcs,fcs,True
2003,4,regular,Syracuse,Louisville,fbs,fbs,True
2003,4,regular,Missouri,Eastern Illinois,fbs,fcs,True
2003,4,regular,Western Michigan,Virginia,fbs,fbs,True
2003,4,regular,Air Force,North Texas,fbs,fbs,True
2003,4,regular,Kansas State,Massachusetts,fbs,fcs,True
2003,4,regular,Ohio,Minnesota,fbs,fbs,True
