player_name,draft_year,file,college,seasons_played,total_plays,total_attempts
Pierce Holley,2026,Pierce_Holley.csv,Eastern Illinois,2,654.0,
Quincy Crittendon,2026,Quincy_Crittendon.csv,Samford,3,408.0,
Quinn Ewers,2026,Quinn_Ewers.csv,Texas,3,1074.0,
Ralph Rucker,2026,Ralph_Rucker.csv,Bucknell,1,265.0,
Reagan Andrew,2026,Reagan_Andrew.csv,Butler,1,210.0,
Reggie Graff,2026,Reggie_Graff.csv,Utah Tech,1,125.0,
Richie Munoz,2026,Richie_Munoz.csv,Weber State,2,440.0,
Riley Leonard,2026,Riley_Leonard.csv,Notre Dame,1,395.0,
Robert Coleman,2026,Robert_Coleman.csv,Lamar,2,437.0,
Rocco Becht,2026,Rocco_Becht.csv,Iowa State,3,801.0,
Ron Peace,2026,Ron_Peace.csv,East Texas A&M,1,313.0,
Sam Leavitt,2026,Sam_Leavitt.csv,Arizona State,1,303.0,
Sam Vidlak,2026,Sam_Vidlak.csv,Stephen F. Austin,1,212.0,
Sawyer Robertson,2026,Sawyer_Robertson.csv,Baylor,2,474.0,
Sean Brown,2026,Sean_Brown.csv,Towson,2,223.0,
