player_name,season,college,plays,comp_adj_coverage,raw_epa_per_play,context_adj_epa_per_play,comp_adj_epa_per_play,full_adj_epa_per_play,college_leaf_raw,college_leaf_context,college_leaf_competition,college_leaf_full,team_sp_plus,draft_year,draft_round,draft_pick,rookie_leaf_mean,rookie_games
Joe Burrow,2019,LSU,575,94.26086956521739,0.4049402197806731,0.40986093810693086,0.606885009599043,0.6141459673815499,0.8098804395613463,0.8197218762138617,1.213770019198086,1.2282919347630998,33.1,2020,1,1,0.0169876301729278,10
Josh Allen,2017,Wyoming,339,80.8259587020649,-0.023514671399530063,-0.030856219429885413,-0.06994710962258961,-0.07772081852377695,-0.047029342799060125,-0.061712438859770825,-0.13989421924517922,-0.1554416370475539,-2.5,2018,1,7,-0.1207762878778059,12
Josh Rosen,2017,UCLA,513,90.83820662768031,0.22398920923645732,0.237000808769267,0.2930218408798498,0.3100880142875745,0.44797841847291464,0.474001617538534,0.5860436817596996,0.620176028575149,4.9,2018,1,10,-0.2298309272198516,14
Justin Fields,2020,Ohio State,237,100.0,0.19085215478506773,0.18933133666273916,0.28024215370039396,0.2782112483109603,0.38170430957013546,0.3786626733254783,0.5604843074007879,0.5564224966219206,28.4,2021,1,11,-0.2433074226759889,12
Justin Herbert,2019,Oregon,452,84.070796460177,0.17565206738304248,0.18570411485710503,0.21845002841543967,0.2316266722790917,0.35130413476608496,0.37140822971421006,0.43690005683087935,0.4632533445581834,19.0,2020,1,6,0.0573627447931921,15
Kellen Mond,2020,Texas A&M,295,100.0,0.23395932892621574,0.24702931404517875,0.32368849545383854,0.34382034404528955,0.4679186578524315,0.4940586280903575,0.6473769909076771,0.6876406880905791,16.2,2021,3,66,-0.5457317529980913,1
Kenny Pickett,2021,Pittsburgh,467,92.93361884368309,0.26542017135043217,0.2689456951037464,0.34875456023640633,0.35309083841754424,0.5308403427008643,0.5378913902074928,0.6975091204728127,0.7061816768350885,17.6,2022,1,20,-0.1545109651395489,13
Kevin Hogan,2015,Stanford,294,77.21088435374149,0.6127578584097395,0.675326074291935,0.8984726437837233,0.9916463967212249,1.225515716819479,1.35065214858387,1.7969452875674465,1.9832927934424498,22.8,2016,5,162,-0.4857403031757431,2
Kyler Murray,2018,Oklahoma,401,100.0,0.5438263336860777,0.5613073725862768,0.8157395005291165,0.8419610588794153,1.0876526673721554,1.1226147451725537,1.631479001058233,1.6839221177588306,24.9,2019,1,1,-0.0663593879443622,16
Lamar Jackson,2017,Louisville,457,89.71553610503283,0.1854272624824188,0.18051959065561482,0.2726519310111812,0.2648339264998779,0.3708545249648376,0.36103918131122964,0.5453038620223624,0.5296678529997558,19.2,2018,1,32,-0.144389732611673,13
