aggregation_method,outcome,outcome_type,feature_combo,n_features,features,n_samples,r,r_squared,cv_r2,rmse,auc,accuracy
career_average,Elite Peak,classification,solo_high_leverage_epa,1,high_leverage_epa,110,0.12349348926138383,,,,0.5748004165220411,0.5909090909090909
career_average,Elite Peak,classification,solo_success_rate,1,success_rate,110,0.3051726148088741,,,,0.6629642485248178,0.6727272727272727
career_average,Elite Peak,classification,pair_epa_volume,2,"epa_per_play, attempts",110,0.24981963242078103,,,,0.6327664005553626,0.6272727272727273
career_average,Elite Peak,classification,pair_epa_bigplay,2,"epa_per_play, big_play_rate",110,0.25502521282619667,,,,0.6365845192641444,0.6363636363636364
career_average,Elite Peak,classification,pair_epa_leverage,2,"epa_per_play, high_leverage_epa",110,0.2519549465872258,,,,0.6369316209649427,0.6272727272727273
career_average,Elite Peak,classification,pair_volume_bigplay,2,"attempts, big_play_rate",110,0.1905739743567497,,,,0.6015272474835127,0.6545454545454545
career_average,Elite Peak,classification,triple_epa_vol_bp,3,"epa_per_play, attempts, big_play_rate",110,0.2560419308972819,,,,0.6404026379729262,0.6454545454545455
career_average,Elite Peak,classification,triple_epa_lev_sr,3,"epa_per_play, high_leverage_epa, success_rate",110,0.31333810915470045,,,,0.6699062825407844,0.6545454545454545
career_average,Elite Peak,classification,five_no_situational,5,"epa_per_play, attempts, big_play_rate, high_leverage_epa, success_rate",110,0.3184584820281434,,,,0.6733772995487678,0.6545454545454545
career_average,Sustained Starter,classification,solo_epa_per_play,1,epa_per_play,110,0.27555581917894867,,,,0.6605345366192295,0.6454545454545455
career_average,Sustained Starter,classification,solo_attempts,1,attempts,110,0.09238038134718596,,,,0.5791391877820201,0.6
career_average,Sustained Starter,classification,solo_big_play_rate,1,big_play_rate,110,0.2366243044559916,,,,0.6327664005553627,0.6727272727272727
career_average,Sustained Starter,classification,solo_red_zone_epa,1,red_zone_epa,110,0.1354459026732408,,,,0.5876431794515794,0.5909090909090909
career_average,Sustained Starter,classification,solo_high_leverage_epa,1,high_leverage_epa,110,0.1354459026732408,,,,0.5876431794515794,0.5909090909090909
career_average,Sustained Starter,classification,solo_success_rate,1,success_rate,110,0.38768668257647915,,,,0.7171121138493579,0.6818181818181818
career_average,Sustained Starter,classification,pair_epa_volume,2,"epa_per_play, attempts",110,0.2805096764850313,,,,0.6688649774383895,0.6363636363636364
career_average,Sustained Starter,classification,pair_epa_bigplay,2,"epa_per_play, big_play_rate",110,0.29120785941994204,,,,0.6695591808399861,0.6363636363636364
career_average,Sustained Starter,classification,pair_epa_leverage,2,"epa_per_play, high_leverage_epa",110,0.2790886253929211,,,,0.6619229434224227,0.6636363636363637
career_average,Sustained Starter,classification,pair_volume_bigplay,2,"attempts, big_play_rate",110,0.2521158897848512,,,,0.6459562651856994,0.6909090909090909
career_average,Sustained Starter,classification,triple_epa_vol_bp,3,"epa_per_play, attempts, big_play_rate",110,0.2994029479461096,,,,0.6730301978479695,0.6545454545454545
career_average,Sustained Starter,classification,triple_epa_lev_sr,3,"epa_per_play, high_leverage_epa, success_rate",110,0.4119617457296308,,,,0.7344671988892745,0.7
career_average,Sustained Starter,classification,five_no_situational,5,"epa_per_play, attempts, big_play_rate, high_leverage_epa, success_rate",110,0.42816045235938094,,,,0.7445331482124262,0.7272727272727273
recency_weighted,Rookie LEAF,regression,solo_epa_per_play,1,epa_per_play,102,0.15852216308611242,0.025129276189500022,-0.13727894304520258,0.46839430451311004,,
recency_weighted,Rookie LEAF,regression,solo_attempts,1,attempts,102,0.12914871951526155,0.0166793917524317,-0.11677310668473997,0.4704198747732339,,
recency_weighted,Rookie LEAF,regression,solo_big_play_rate,1,big_play_rate,102,0.04085368657776884,0.0016690237069945698,-0.16174220883766624,0.4739967508992168,,
recency_weighted,Rookie LEAF,regression,solo_red_zone_epa,1,red_zone_epa,102,0.05179939424653712,0.002683177244308183,-0.1301645859547118,0.4737559351596914,,
recency_weighted,Rookie LEAF,regression,solo_high_leverage_epa,1,high_leverage_epa,102,0.05179939424653712,0.002683177244308183,-0.1301645859547118,0.4737559351596914,,
recency_weighted,Rookie LEAF,regression,solo_success_rate,1,success_rate,102,0.17607947164194024,0.031003980333704835,-0.11299589453820309,0.4669808678751743,,
recency_weighted,Rookie LEAF,regression,pair_epa_volume,2,"epa_per_play, attempts",102,0.18990169031770918,0.03606265198552312,-0.14369199120891457,0.46576032928578454,,
recency_weighted,Rookie LEAF,regression,pair_epa_bigplay,2,"epa_per_play, big_play_rate",102,0.17355734814063437,0.03012215309360936,-0.1297273782237873,0.4671933056954089,,
recency_weighted,Rookie LEAF,regression,pair_epa_leverage,2,"epa_per_play, high_leverage_epa",102,0.16002756488988212,0.025608821524585434,-0.15957611748356676,0.46827908721938116,,
recency_weighted,Rookie LEAF,regression,pair_volume_bigplay,2,"attempts, big_play_rate",102,0.13819921579776806,0.019099023247118065,-0.15831916084361147,0.4698407433032477,,
recency_weighted,Rookie LEAF,regression,triple_epa_vol_bp,3,"epa_per_play, attempts, big_play_rate",102,0.19632929085329134,0.03854519044695627,-0.15427610361718663,0.4651601796177498,,
recency_weighted,Rookie LEAF,regression,triple_epa_lev_sr,3,"epa_per_play, high_leverage_epa, success_rate",102,0.17710421441336383,0.03136590276297475,-0.16972444435194,0.46689365047121456,,
recency_weighted,Rookie LEAF,regression,five_no_situational,5,"epa_per_play, attempts, big_play_rate, high_leverage_epa, success_rate",102,0.2146642249408537,0.04608072946945743,-0.2154140469967806,0.4633337141987697,,
recency_weighted,85+ Starts,classification,solo_epa_per_play,1,epa_per_play,81,0.06355432075087213,,,,0.5370370370370371,0.7777777777777778
recency_weighted,85+ Starts,classification,solo_attempts,1,attempts,81,0.057001066125537,,,,0.5714285714285714,0.7777777777777778
recency_weighted,85+ Starts,classification,solo_big_play_rate,1,big_play_rate,81,0.14045246488769206,,,,0.5458553791887125,0.7777777777777778
