player_name,leaf_name,draft_year,college,nfl_team,round,pick,rookie_games,rookie_attempts,rookie_leaf_mean,rookie_leaf_final,rookie_leaf_std,rookie_leaf_min,rookie_leaf_max,rookie_epa_mean,rookie_cpoe_mean
Malik Willis,M.Willis,2022,Liberty,TEN,3,86,6,0.0,-0.4194787990680296,-0.3964534988491202,0.07204441984351076,-0.5218670141432779,-0.3192018965289119,,
Bailey Zappe,B.Zappe,2022,Western Kentucky,NWE,4,137,4,0.0,-0.11656638747973613,-0.040938676818634,0.15800904877024635,-0.3468530721234217,0.0065308371612466,,
Sam Howell,S.Howell,2022,North Carolina,WAS,5,144,1,0.0,-0.4578595961141502,-0.4578595961141502,,-0.4578595961141502,-0.4578595961141502,,
Skylar Thompson,S.Thompson,2022,Kansas St.,MIA,7,247,8,0.0,-0.3596309354903609,-0.4943136776537319,0.22455077371070867,-0.6151826669702591,-0.0056983285943289,,
Brock Purdy,B.Purdy,2022,Iowa St.,SFO,7,262,10,0.0,0.0760626250159369,0.0390257649739643,0.04993623899231409,-0.0247364028613209,0.1576688689331909,,
Bryce Young,B.Young,2023,Alabama,CAR,1,1,16,0.0,-0.28953253944281643,-0.2946049075085705,0.03476714395390973,-0.3430506819154013,-0.2091883344692787,,
C.J. Stroud,C.Stroud,2023,Ohio St.,HOU,1,2,17,0.0,0.004656204368771264,0.0319699523087631,0.0763363978283614,-0.2434226485102652,0.0795817574522242,,
Anthony Richardson,A.Richardson,2023,Florida,IND,1,4,4,0.0,0.0087500410717835,0.0934801699190172,0.13892501458208562,-0.1913977087169638,0.1111888690812738,,
Will Levis,W.Levis,2023,Kentucky,TEN,2,33,9,0.0,-0.07891419122585419,-0.2082099956746135,0.07048210327346038,-0.2082099956746135,0.0594338666926923,,
Aidan O'Connell,A.O'Connell,2023,Purdue,LVR,4,135,11,0.0,-0.10146799865628407,-0.0931723495332383,0.07142123256071575,-0.1734849196821039,0.0456980820317867,,
Clayton Tune,C.Tune,2023,Houston,ARI,5,139,2,0.0,-1.60240921968794,-1.441367621630512,0.22774721207905121,-1.7634508177453678,-1.441367621630512,,
Dorian Thompson-Robinson,D.Thompson-Robinson,2023,UCLA,CLE,5,140,6,0.0,-0.03912512940521183,0.0531175095676659,0.2242340687978491,-0.3810704462578567,0.3081923121426825,,
Sean Clifford,S.Clifford,2023,Penn St.,GNB,5,149,1,0.0,2.057503431210525,2.057503431210525,,2.057503431210525,2.057503431210525,,
Jaren Hall,J.Hall,2023,BYU,MIN,5,164,3,0.0,-0.29871124744748817,-0.3781316433760754,0.32917516732776514,-0.5809103399955562,0.062908241029167,,
Caleb Williams,C.Williams,2024,USC,CHI,1,1,17,0.0,-0.1965426251072528,-0.1022546619360551,0.09889628542647866,-0.4114940718288116,-0.0794699917505105,,
Jayden Daniels,J.Daniels,2024,LSU,WAS,1,2,20,0.0,0.035464875668669585,0.0168315011755931,0.07479796608951893,-0.0569250503326295,0.1941869874138673,,
Drake Maye,D.Maye,2024,North Carolina,NWE,1,3,13,0.0,-0.23925559978572122,-0.2704911792075313,0.07810633184757006,-0.4267857514607002,-0.1421966082845162,,
Michael Penix,M.Penix,2024,Washington,ATL,1,8,5,0.0,0.714286778260942,0.3572957287631326,0.33946013273318565,0.3572957287631326,1.1841084265849582,,
Bo Nix,B.Nix,2024,Oregon,DEN,1,12,18,0.0,-0.1621800312731907,-0.0070092368993736,0.12742542679280863,-0.3893660315954677,0.0177134213221024,,
Spencer Rattler,S.Rattler,2024,South Carolina,NOR,5,150,7,0.0,-0.312620523329684,-0.2805014330749004,0.06156675796663848,-0.4280418697072221,-0.2417893972648566,,
Joe Milton,J.Milton,2024,Tennessee,NWE,6,193,1,0.0,0.3970516604988858,0.3970516604988858,,0.3970516604988858,0.3970516604988858,,
