player_name,college_college,draft_year,final_season,draft_round,draft_pick,pass_attempts,completions,passing_yards,passing_tds,interceptions,games_played,opponents,leaf_name,college_nfl,nfl_team,round,pick,rookie_games,rookie_attempts,rookie_leaf_mean,rookie_leaf_final,rookie_leaf_std,rookie_leaf_min,rookie_leaf_max,rookie_epa_mean,rookie_cpoe_mean,college_games_played,competition_tier
Sam Howell,North Carolina,2022,2021,5,144,,,,,,13,,S.Howell,North Carolina,WAS,5,144,1,0.0,-0.4578595961141502,-0.4578595961141502,,-0.4578595961141502,-0.4578595961141502,,,13,High
Skylar Thompson,Kansas St.,2022,2021,7,247,,,,,,0,,S.Thompson,Kansas St.,MIA,7,247,8,0.0,-0.3596309354903609,-0.4943136776537319,0.2245507737107086,-0.6151826669702591,-0.0056983285943289,,,0,
Brock Purdy,Iowa State,2022,2021,7,262,,,,,,13,,B.Purdy,Iowa St.,SFO,7,262,10,0.0,0.0760626250159369,0.0390257649739643,0.049936238992314,-0.0247364028613209,0.1576688689331909,,,13,High
Bryce Young,Alabama,2023,2022,1,1,,,,,,13,,B.Young,Alabama,CAR,1,1,16,0.0,-0.2895325394428164,-0.2946049075085705,0.0347671439539097,-0.3430506819154013,-0.2091883344692787,,,13,High
C.J. Stroud,Ohio State,2023,2022,1,2,,,,,,13,,C.Stroud,Ohio St.,HOU,1,2,17,0.0,0.0046562043687712,0.0319699523087631,0.0763363978283614,-0.2434226485102652,0.0795817574522242,,,13,High
Anthony Richardson,Florida,2023,2022,1,4,,,,,,13,,A.Richardson,Florida,IND,1,4,4,0.0,0.0087500410717835,0.0934801699190172,0.1389250145820856,-0.1913977087169638,0.1111888690812738,,,13,High
Will Levis,Kentucky,2023,2022,2,33,,,,,,13,,W.Levis,Kentucky,TEN,2,33,9,0.0,-0.0789141912258541,-0.2082099956746135,0.0704821032734603,-0.2082099956746135,0.0594338666926923,,,13,High
Aidan O'Connell,Purdue,2023,2022,4,135,,,,,,14,,A.O'Connell,Purdue,LVR,4,135,11,0.0,-0.101467998656284,-0.0931723495332383,0.0714212325607157,-0.1734849196821039,0.0456980820317867,,,14,High
Clayton Tune,Houston,2023,2022,5,139,,,,,,13,,C.Tune,Houston,ARI,5,139,2,0.0,-1.60240921968794,-1.441367621630512,0.2277472120790512,-1.7634508177453678,-1.441367621630512,,,13,High
Dorian Thompson-Robinson,UCLA,2023,2022,5,140,,,,,,13,,D.Thompson-Robinson,UCLA,CLE,5,140,6,0.0,-0.0391251294052118,0.0531175095676659,0.2242340687978491,-0.3810704462578567,0.3081923121426825,,,13,High
Sean Clifford,Penn State,2023,2022,5,149,,,,,,13,,S.Clifford,Penn St.,GNB,5,149,1,0.0,2.057503431210525,2.057503431210525,,2.057503431210525,2.057503431210525,,,13,High
Jaren Hall,BYU,2023,2022,5,164,,,,,,13,,J.Hall,BYU,MIN,5,164,3,0.0,-0.2987112474474881,-0.3781316433760754,0.3291751673277651,-0.5809103399955562,0.062908241029167,,,13,High
