passer_player_id,passer_player_name,games_10att,games_any,attempts,season
00-0024812,T.Palko,0,2,8,2010
00-0025423,K.Kolb,6,6,201,2010
00-0025430,D.Stanton,4,6,123,2010
00-0025479,T.Edwards,4,4,112,2010
00-0025486,J.Higgins,0,1,1,2010
00-0025529,S.Breaston,0,2,2,2010
00-0025561,T.Smith,6,6,163,2010
00-0025592,J.Palmer,0,1,5,2010
00-0025604,T.Thigpen,2,4,70,2010
00-0025708,M.Moore,4,6,155,2010
00-0025749,R.Bartel,1,1,30,2010
00-0025970,C.Hanie,1,3,25,2010
00-0025970,C.Hanie (3rd QB),0,1,4,2010
00-0026143,M.Ryan,16,17,584,2010
00-0026143,Ryan,1,1,45,2010
00-0026144,D.McFadden,0,1,1,2010
00-0026158,J.Flacco,18,18,601,2010
00-0026184,M.Forte,0,1,1,2010
00-0026196,B.Brohm,1,1,26,2010
00-0026197,C.Henne,15,15,519,2010
00-0026296,D.Dixon,1,2,37,2010
00-0026300,J.Johnson,0,6,18,2010
00-0026349,M.Flynn,2,5,73,2010
00-0026367,P.Hillis,0,2,2,2010
00-0026491,S.Logan,0,1,1,2010
00-0026498,M.Stafford,3,3,101,2010
00-0026498,M.Stafford (3rd QB),0,1,2,2010
00-0026544,C.Daniel,0,1,3,2010
00-0026625,B.Hoyer,1,2,15,2010
00-0026898,M.Sanchez,18,18,622,2010
00-0026993,J.Freeman,16,16,502,2010
00-0027026,M.Massaquoi,0,1,1,2010
00-0027071,S.McGee,2,2,46,2010
00-0027347,M.Hall,4,6,92,2010
00-0027659,J.Clausen,12,13,331,2010
00-0027681,B.LaFell,0,1,1,2010
00-0027688,C.McCoy,8,8,244,2010
00-0027692,A.Edwards,0,1,1,2010
00-0027754,J.Skelton,4,5,134,2010
00-0027775,R.Smith,1,2,41,2010
00-0027796,J.Webb,3,4,97,2010
00-0027801,T.Pike,0,1,5,2010
00-0027801,T.Pike (3rd QB),0,1,8,2010
00-0027804,L.Brown,0,1,3,2010
00-0027854,S.Bradford,16,16,619,2010
00-0027876,T.Tebow,3,4,87,2010
00-0027880,J.Best,0,1,1,2010
00-0000108,D.Akers,0,1,1,2011
00-0000865,C.Batch,1,3,26,2011
00-0002110,M.Brunell,0,1,3,2011
00-0003292,K.Collins,3,3,101,2011
00-0004161,J.Delhomme,1,1,29,2011
00-0007091,M.Hasselbeck,15,16,532,2011
00-0009311,J.Kitna,1,1,10,2011
00-0011022,D.McNabb,6,6,172,2011
00-0019596,T.Brady,19,19,754,2011
00-0019709,C.Redman,1,4,28,2011
00-0019714,S.Lechler,0,2,2,2011
00-0020245,M.Vick,13,13,441,2011
00-0020305,A.Feeley,3,4,107,2011
00-0020531,D.Brees,18,18,794,2011
00-0020536,L.Tomlinson,0,1,1,2011
00-0020679,Sh.Hill,0,2,3,2011
00-0021206,J.McCown,2,3,62,2011
00-0021429,C.Palmer,10,10,328,2011
00-0021678,T.Romo,15,16,554,2011
00-0022055,S.Wallace,3,5,111,2011
00-0022097,B.Lloyd,0,1,1,2011
00-0022121,R.Grossman,13,13,482,2011
00-0022164,K.Boller,2,2,31,2011
00-0022787,M.Schaub,10,10,306,2011
00-0022803,E.Manning,20,20,788,2011
00-0022864,L.McCown,3,4,60,2011
00-0022912,J.Losman,1,1,15,2011
00-0022924,B.Roethlisberger,16,16,596,2011
00-0022942,P.Rivers,16,16,610,2011
00-0023176,J.Cribbs,0,1,1,2011
00-0023436,A.Smith,2,2,50,2011
00-0023436,Ale.Smith,0,1,4,2011
00-0023436,Alex Smith,16,16,508,2011
00-0023459,A.Rodgers,16,16,566,2011
00-0023460,J.Campbell,5,6,171,2011
00-0023541,K.Orton,8,9,261,2011
00-0023578,D.Orlovsky,6,8,204,2011
00-0023662,M.Cassel,9,9,290,2011
00-0023682,R.Fitzpatrick,16,16,585,2011
00-0023968,M.Spurlock,0,1,1,2011
00-0024218,V.Young,3,5,122,2011
00-0024225,M.Leinart,1,1,13,2011
00-0024226,J.Cutler,10,10,337,2011
00-0024264,K.Clemens,3,3,100,2011
00-0024279,T.Jackson,15,15,490,2011
00-0024294,J.Norwood,0,1,1,2011
00-0024296,C.Whitehurst,2,3,64,2011
00-0024318,B.Smith,0,2,2,2011
00-0024408,B.Gradkowski,1,2,19,2011
00-0024812,T.Palko,4,6,143,2011
00-0025399,M.Lynch,0,1,2,2011
00-0025423,K.Kolb,8,9,283,2011
00-0025427,J.Beck,4,4,149,2011
00-0025431,S.Rice,0,1,1,2011
00-0025488,A.Podlesh,0,1,1,2011
00-0025499,D.Sepulveda,0,1,1,2011
00-0025559,L.Naanee,0,1,1,2011
00-0025604,T.Thigpen,0,2,8,2011
00-0025708,M.Moore,13,13,384,2011
00-0025749,R.Bartel,1,2,23,2011
00-0025970,C.Hanie,4,4,118,2011
00-0026143,M.Ryan,16,17,629,2011
00-0026158,J.Flacco,18,18,644,2011
00-0026184,M.Forte,0,1,1,2011
00-0026195,R.Rice,0,1,1,2011
00-0026197,C.Henne,3,4,123,2011
00-0026300,J.Johnson,1,5,39,2011
00-0026349,M.Flynn,1,5,54,2011
00-0026498,M.Stafford,17,17,757,2011
00-0026516,B.Colquitt,0,1,1,2011
00-0026544,C.Daniel,0,3,5,2011
00-0026625,B.Hoyer,0,1,1,2011
00-0026898,M.Sanchez,16,16,579,2011
00-0026941,B.Scott,0,1,1,2011
00-0026993,J.Freeman,15,15,578,2011
00-0027071,S.McGee,1,1,41,2011
00-0027121,T.Brandstater,0,1,2,2011
00-0027134,C.Painter,9,9,260,2011
00-0027618,B.Banks,0,1,1,2011
00-0027685,E.Sanders,0,1,1,2011
00-0027688,C.McCoy,13,13,494,2011
00-0027690,E.Decker,0,1,1,2011
00-0027692,A.Edwards,0,1,1,2011
00-0027722,M.Kafka,0,2,17,2011
00-0027754,J.Skelton,8,8,297,2011
00-0027796,J.Webb,2,6,66,2011
00-0027854,S.Bradford,10,10,392,2011
00-0027874,D.Thomas,0,1,1,2011
00-0027876,T.Tebow,13,14,354,2011
00-0027939,C.Newton,16,16,551,2011
00-0027946,J.Locker,3,5,70,2011
00-0027948,B.Gabbert,14,15,452,2011
00-0027950,C.Ponder,11,11,320,2011
00-0027973,A.Dalton,17,17,587,2011
00-0027974,C.Kaepernick,0,2,5,2011
00-0028002,R.Cobb,0,1,1,2011
00-0028090,T.Yates,7,8,203,2011
00-0028091,J.Kerley,0,1,1,2011
00-0028118,T.Taylor,0,1,3,2011
00-0028427,C.Henry,0,1,1,2011
00-0000865,C.Batch,2,2,73,2012
00-0007091,M.Hasselbeck,7,8,236,2012
00-0010346,P.Manning,17,17,648,2012
00-0019310,R.Lindell,0,1,1,2012
00-0019596,T.Brady,18,18,755,2012
00-0019714,S.Lechler,0,1,1,2012
00-0020245,M.Vick,9,10,377,2012
00-0020531,D.Brees,16,16,693,2012
00-0020608,D.Carr,0,2,4,2012
00-0020679,Sh.Hill,1,1,12,2012
00-0021429,C.Palmer,14,15,590,2012
00-0021678,T.Romo,16,16,683,2012
00-0022177,B.Leftwich,2,2,56,2012
00-0022787,M.Schaub,18,18,660,2012
00-0022803,E.Manning,16,16,555,2012
00-0022924,B.Roethlisberger,13,13,475,2012
00-0022942,P.Rivers,16,16,574,2012
00-0023436,A.Smith,9,10,242,2012
00-0023459,A.Rodgers,18,18,679,2012
00-0023460,J.Campbell,2,4,57,2012
00-0023534,D.Colquitt,0,1,1,2012
00-0023541,K.Orton,1,1,11,2012
00-0023578,D.Orlovsky,0,1,7,2012
00-0023645,D.Anderson,0,2,4,2012
00-0023662,M.Cassel,9,9,289,2012
00-0023682,R.Fitzpatrick,16,16,533,2012
00-0023853,M.Prater,0,1,1,2012
00-0024225,M.Leinart,1,2,34,2012
00-0024226,J.Cutler,15,15,473,2012
00-0024264,K.Clemens,0,2,3,2012
00-0024318,B.Smith,0,1,1,2012
00-0024408,B.Gradkowski,1,1,11,2012
00-0025409,B.Quinn,8,10,218,2012
00-0025423,K.Kolb,5,6,210,2012
00-0025431,S.Rice,0,2,2,2012
00-0025479,T.Edwards,0,1,2,2012
00-0025604,T.Thigpen,0,1,5,2012
00-0025612,B.Fields,0,1,1,2012
00-0025708,Matt.Moore,1,2,21,2012
00-0026143,M.Ryan,18,18,722,2012
00-0026158,J.Flacco,19,20,699,2012
00-0026197,C.Henne,9,10,334,2012
00-0026300,J.Johnson,0,1,1,2012
00-0026314,J.Morgan,0,1,1,2012
00-0026349,M.Flynn,0,1,9,2012
00-0026367,P.Hillis,0,1,1,2012
00-0026498,M.Stafford,16,16,753,2012
00-0026544,C.Daniel,0,1,1,2012
00-0026625,B.Hoyer,2,2,57,2012
00-0026664,T.Masthay,0,2,2,2012
00-0026898,M.Sanchez,15,15,486,2012
00-0026993,J.Freeman,16,16,586,2012
00-0027253,T.Lewis,1,1,35,2012
00-0027602,G.Harrell,0,2,4,2012
00-0027685,E.Sanders,0,1,1,2012
00-0027688,C.McCoy,1,1,21,2012
00-0027692,A.Edwards,0,1,1,2012
00-0027702,M.Williams,0,1,1,2012
00-0027754,J.Skelton,5,7,215,2012
00-0027775,R.Smith,0,1,5,2012
00-0027793,A.Brown,0,2,2,2012
00-0027796,J.Webb,1,1,32,2012
00-0027854,S.Bradford,16,16,584,2012
00-0027876,T.Tebow,0,7,10,2012
00-0027891,G.Tate,0,1,1,2012
00-0027912,D.Alexander,0,1,1,2012
00-0027939,C.Newton,16,16,519,2012
00-0027946,J.Locker,10,11,339,2012
00-0027948,B.Gabbert,9,10,304,2012
00-0027950,C.Ponder,16,16,517,2012
00-0027973,A.Dalton,17,17,603,2012
00-0027974,C.Kaepernick,11,14,320,2012
00-0028012,R.Mallett,0,2,4,2012
00-0028053,K.Hunter,0,1,1,2012
00-0028090,T.Yates,0,3,11,2012
00-0028091,J.Kerley,0,1,1,2012
00-0028118,T.Taylor,1,3,32,2012
00-0028146,G.McElroy,1,2,42,2012
00-0028825,T.Pryor,1,3,30,2012
00-0028872,J.Hekker,0,2,3,2012
00-0029263,R.Wilson,18,18,496,2012
00-0029531,R.Lindley,6,6,183,2012
