attempts,epa_per_play_raw,total_epa_raw,success_rate_raw,epa_per_play_adj,avg_opponent_sp_defense,sos_percentile,big_play_rate,third_down_epa,third_down_attempts,red_zone_epa,red_zone_attempts,high_leverage_epa,high_leverage_rate,scoring_play_rate,player_name,draft_year,college,seasons_played
355.0,0.1518229401447403,53.89714375138283,0.5098591549295775,0.1518229401447403,26.674615384615382,50.0,0.1887323943661971,,0.0,0.4910123887516203,42.0,0.4910123887516203,0.1183098591549295,0.0704225352112676,Will Levis,2023,Kentucky,1
354.0,0.3583236697356788,126.84657908643032,0.4915254237288136,0.3583236697356788,,,0.1723163841807909,0.707454981344746,92.0,,0.0,0.593934090542198,0.2966101694915254,0.0480225988700565,Athan Kaliakmanis,2026,Rutgers,1
353.0,0.3555415616853549,125.50617127493028,0.461756373937677,0.3555415616853549,26.47218045112782,50.0,0.1841359773371104,0.6740735343127441,93.0,,0.0,0.5526049773650621,0.2776203966005666,0.0594900849858356,Devin Leary,2024,Kentucky,1
352.75,0.3585080392237914,126.028000831604,0.5362206441367445,0.3585080392237914,27.2645497311828,50.0,0.2195012163502655,,0.0,0.3304551004271123,47.5,0.3304551004271123,0.1360759001195243,0.0866285398262049,Aaron Murray,2014,Georgia,4
351.5,0.1690991198699841,76.13840150600299,0.4720229265133775,0.1690991198699841,26.648716397849466,50.0,0.1692550195433152,,0.0,0.0884608964588414,46.5,0.0884608964588414,0.1241312977048622,0.0604816043089225,Geno Smith,2013,West Virginia,4
349.5,0.1574082226243694,53.34058752283454,0.5275827732138412,0.1574082226243694,27.18618279569893,50.0,0.1980333582275329,,0.0,0.0155317796601189,42.5,0.0155317796601189,0.1224172267861588,0.0602315160567587,EJ Manuel,2013,Florida State,2
349.5,0.108795743862148,37.45488302411802,0.4799041297935102,0.108795743862148,27.7921875,50.0,0.2071533923303835,,0.0,-0.2397560063997904,47.5,-0.2397560063997904,0.1358161258603736,0.0670845624385447,DeShone Kizer,2017,Notre Dame,2
348.5,0.2152979247218921,74.10662385891192,0.5230175581447879,0.2152979247218921,27.544979627330303,50.0,0.2152378097467597,,0.0,0.3431093827968206,36.0,0.3431093827968206,0.1038557406190825,0.0605329682620979,Brock Purdy,2022,Iowa St.,4
346.5,0.6063839567448073,203.33319931872884,0.6044567062818336,0.6063839567448073,26.715861217930325,50.0,0.2297102669923355,0.9871626619674576,66.0,,0.0,0.9419011121025996,0.2035921839467699,0.070197085824981,Jayden Daniels,2024,LSU,2
346.3333333333333,0.116285920040497,56.96527673288559,0.4732970250492663,0.116285920040497,25.98888888888889,50.0,0.1518199419584912,,0.0,-0.0472068567821754,41.66666666666666,-0.0472068567821754,0.1187651733699003,0.0549399964640388,Jimmy Clausen,2010,Notre Dame,3
345.0,0.3536290444577496,122.00202033792362,0.5072463768115942,0.3536290444577496,,,0.1594202898550724,0.6522566920358125,83.0,,0.0,0.7268226555064006,0.2753623188405797,0.0347826086956521,Hank Bachmeier,2026,Wake Forest,1
344.0,0.2567892150012429,88.33548996042755,0.4651162790697674,0.2567892150012429,,,0.1976744186046511,0.4598942690886154,85.0,,0.0,0.4221166717651094,0.2645348837209302,0.0261627906976744,Ben Finley,2026,Akron,1
