attempts,epa_per_play,total_epa,success_rate,big_play_rate,third_down_epa,third_down_attempts,red_zone_epa,red_zone_attempts,high_leverage_epa,high_leverage_rate,scoring_play_rate,player_name,draft_year,college,seasons_played
501,0.40625291914045214,203.53271248936653,0.5888223552894212,0.17764471057884232,,0,0.7231517468179975,70,0.7231517468179975,0.13972055888223553,0.06187624750499002,Landry Jones,2013,Oklahoma,4
356,0.34845344751571,124.04942731559277,0.5168539325842697,0.22752808988764045,,0,0.3031126403808594,50,0.3031126403808594,0.1404494382022472,0.10112359550561797,Matt Barkley,2013,USC,4
13,0.1911395604793842,2.4848142862319946,0.46153846153846156,0.07692307692307693,,0,0.7745718955993652,1,0.7745718955993652,0.07692307692307693,0.0,Mike Glennon,2013,NC State,4
434,0.3644953631207965,158.19098759442568,0.5368663594470046,0.22580645161290322,,0,0.26256260606977677,63,0.26256260606977677,0.14516129032258066,0.059907834101382486,Ryan Nassib,2013,Syracuse,4
360,0.2903362250369456,104.52104101330042,0.525,0.225,,0,-0.3112205790013683,49,-0.3112205790013683,0.1361111111111111,0.058333333333333334,Tyler Wilson,2013,Arkansas,5
314,0.3865456751957061,121.37534201145172,0.5414012738853503,0.21337579617834396,,0,0.22917542586455475,37,0.22917542586455475,0.1178343949044586,0.08917197452229299,AJ McCarron,2014,Alabama,3
319,0.4319140317391452,137.78057612478733,0.567398119122257,0.219435736677116,,0,0.16445876517385807,53,0.16445876517385807,0.16614420062695925,0.08463949843260188,Aaron Murray,2014,Georgia,4
356,0.4961092833722575,176.61490488052368,0.6123595505617978,0.22752808988764045,,0,0.4626295116712462,53,0.4626295116712462,0.14887640449438203,0.0702247191011236,Blake Bortles,2014,UCF,3
585,0.2946605813426849,172.37644008547068,0.5452991452991452,0.20341880341880342,,0,0.1703356102893227,95,0.1703356102893227,0.1623931623931624,0.08205128205128205,Derek Carr,2014,Fresno State,4
88,0.3247639878906987,28.579230934381485,0.5,0.20454545454545456,,0,1.4113556543986003,9,1.4113556543986003,0.10227272727272728,0.10227272727272728,Jimmy Garoppolo,2014,Eastern Illinois,3
378,0.6304749007184038,238.31951247155666,0.6216931216931217,0.2698412698412698,,0,0.6708290732425192,46,0.6708290732425192,0.12169312169312169,0.09788359788359788,Johnny Manziel,2014,Texas A&M,2
366,0.2809686075712814,102.83451037108898,0.4890710382513661,0.20765027322404372,,0,0.45393263612474716,35,0.45393263612474716,0.09562841530054644,0.04371584699453552,Logan Thomas,2014,Virginia Tech,4
407,0.4697393189374293,191.18390280753374,0.5921375921375921,0.2285012285012285,,0,0.4801767251708291,44,0.4801767251708291,0.10810810810810811,0.07862407862407862,Teddy Bridgewater,2014,Louisville,3
351,0.6822792914008823,239.48003128170967,0.6495726495726496,0.30484330484330485,,0,0.7202730464935303,50,0.7202730464935303,0.14245014245014245,0.11396011396011396,Jameis Winston,2015,Florida State,2
355,0.4605224524165543,163.48547060787678,0.5661971830985916,0.28450704225352114,,0,0.17925903153797937,63,0.17925903153797937,0.17746478873239438,0.08732394366197183,Marcus Mariota,2015,Oregon,3
545,0.3359783644506007,183.1082086255774,0.5064220183486239,0.21100917431192662,,0,0.13762473045511447,94,0.13762473045511447,0.1724770642201835,0.06605504587155964,Sean Mannion,2015,Oregon State,4
93,0.04039624012926574,3.7568503320217133,0.44086021505376344,0.24731182795698925,,0,-0.3190651156685569,11,-0.3190651156685569,0.11827956989247312,0.07526881720430108,Cardale Jones,2016,Ohio State,3
29,-0.0413851563272805,-1.2001695334911344,0.5172413793103449,0.13793103448275862,,0,-1.223363447189331,5,-1.223363447189331,0.1724137931034483,0.0,Carson Wentz,2016,North Dakota State,1
327,0.2864410369130085,93.66621907055378,0.5015290519877675,0.2018348623853211,,0,0.6220000890585092,26,0.6220000890585092,0.07951070336391437,0.06422018348623854,Cody Kessler,2016,USC,4
342,0.3318148266676574,113.48067072033882,0.5350877192982456,0.26608187134502925,,0,0.4361503064632416,40,0.4361503064632416,0.11695906432748537,0.07017543859649122,Connor Cook,2016,Michigan State,4
29,0.40455747472828835,11.732166767120361,0.5172413793103449,0.13793103448275862,,0,-0.1443019151687622,10,-0.1443019151687622,0.3448275862068966,0.13793103448275862,Dak Prescott,2016,Mississippi State,4
364,0.09223739454870696,33.57441161572933,0.4835164835164835,0.16483516483516483,,0,0.24891097590608416,53,0.24891097590608416,0.14560439560439561,0.06593406593406594,Jacoby Brissett,2016,NC State,2
512,0.3335322438797448,170.76850886642933,0.552734375,0.21875,,0,0.42121192663908,80,0.42121192663908,0.15625,0.0859375,Jared Goff,2016,California,3
265,0.3870862853414607,102.5778656154871,0.49056603773584906,0.22641509433962265,,0,-0.1595725695292155,30,-0.1595725695292155,0.11320754716981132,0.07547169811320754,Kevin Hogan,2016,Stanford,4
427,0.3073983177263508,131.25908166915178,0.5081967213114754,0.22482435597189696,,0,0.05832647283871969,48,0.05832647283871969,0.11241217798594848,0.06557377049180328,Paxton Lynch,2016,Memphis,3
363,0.08017595674709184,29.103872299194336,0.4573002754820937,0.209366391184573,,0,-0.11656091087742854,38,-0.11656091087742854,0.1046831955922865,0.046831955922865015,C.J. Beathard,2017,Iowa,4
339,0.16300807297669329,55.259736739099026,0.5014749262536873,0.1976401179941003,,0,-0.31788438161214194,45,-0.31788438161214194,0.13274336283185842,0.061946902654867256,DeShone Kizer,2017,Notre Dame,2
141,0.3769330031482886,53.14755344390869,0.5177304964539007,0.2765957446808511,,0,0.25008479186466764,14,0.25008479186466764,0.09929078014184398,0.09929078014184398,Deshaun Watson,2017,Clemson,3
299,0.19761470064869693,59.08679549396038,0.4782608695652174,0.24414715719063546,,0,0.08766020428050648,33,0.08766020428050648,0.11036789297658862,0.09698996655518395,Nathan Peterman,2017,Pittsburgh,2
