game_id,game_date,season,season_type,week,passer_player_id,passer_player_name,posteam,defteam,qb_epa_mean,qb_epa_sum,qb_epa_count,cpoe_mean,success_mean,attempts
2006_08_SEA_KC,2006-10-29,2006,REG,8,00-0007835,D.Huard,KC,SEA,0.745964,20.141028,27,,0.666667,27.000000
2006_08_SEA_KC,2006-10-29,2006,REG,8,00-0022055,S.Wallace,SEA,KC,0.143126,4.436914,31,,0.451613,31.000000
2006_08_SF_CHI,2006-10-29,2006,REG,8,00-0006423,B.Griese,CHI,SF,-0.682303,-2.729212,4,-3.572979,0.000000,4.000000
2006_08_SF_CHI,2006-10-29,2006,REG,8,00-0022121,R.Grossman,CHI,SF,0.593451,17.210078,29,19.515699,0.655172,29.000000
2006_08_SF_CHI,2006-10-29,2006,REG,8,00-0023436,A.Smith,SF,CHI,-0.182423,-5.107838,28,0.189139,0.357143,28.000000
2006_08_STL_SD,2006-10-29,2006,REG,8,00-0019599,M.Bulger,LA,LAC,0.338274,14.545775,43,5.804580,0.488372,43.000000
2006_08_STL_SD,2006-10-29,2006,REG,8,00-0022942,P.Rivers,LAC,LA,0.331972,7.967318,24,11.956109,0.541667,24.000000
2006_08_TB_NYG,2006-10-29,2006,REG,8,00-0022803,E.Manning,NYG,TB,-0.203715,-6.722597,33,-5.869225,0.424242,33.000000
2006_08_TB_NYG,2006-10-29,2006,REG,8,00-0024408,B.Gradkowski,TB,NYG,-0.441636,-22.081805,50,-18.925764,0.240000,50.000000
2006_09_ATL_DET,2006-11-05,2006,REG,9,00-0009311,J.Kitna,DET,ATL,0.122048,4.271687,35,-5.272514,0.485714,35.000000
2006_09_ATL_DET,2006-11-05,2006,REG,9,00-0020245,M.Vick,ATL,DET,-0.390255,-13.268681,34,-6.100873,0.382353,34.000000
2006_09_CIN_BAL,2006-11-05,2006,REG,9,00-0011024,S.McNair,BAL,CIN,0.304097,9.427013,31,5.690039,0.580645,31.000000
2006_09_CIN_BAL,2006-11-05,2006,REG,9,00-0021429,C.Palmer,CIN,BAL,-0.269813,-7.554761,28,-15.627827,0.357143,28.000000
2006_09_CLE_SD,2006-11-05,2006,REG,9,00-0022942,P.Rivers,LAC,CLE,0.073583,2.354661,32,2.476282,0.468750,32.000000
2006_09_CLE_SD,2006-11-05,2006,REG,9,00-0023502,C.Frye,CLE,LAC,-0.174203,-8.187537,47,-1.156441,0.361702,47.000000
2006_09_DAL_WAS,2006-11-05,2006,REG,9,00-0002110,M.Brunell,WAS,DAL,0.287125,6.890990,24,1.808873,0.458333,24.000000
2006_09_DAL_WAS,2006-11-05,2006,REG,9,00-0021678,T.Romo,DAL,WAS,0.329048,12.832871,39,6.099351,0.435897,39.000000
2006_09_DEN_PIT,2006-11-05,2006,REG,9,00-0013042,J.Plummer,DEN,PIT,0.345199,9.665559,28,1.722757,0.464286,28.000000
2006_09_DEN_PIT,2006-11-05,2006,REG,9,00-0022924,B.Roethlisberger,PIT,DEN,0.227793,13.211992,58,8.295843,0.482759,58.000000
2006_09_GB_BUF,2006-11-05,2006,REG,9,00-0005106,B.Favre,GB,BUF,-0.216530,-10.609980,49,0.061863,0.469388,49.000000
