passer_player_id,y,y1_team,team_fallback,e1_new_team,e2_coach_change,e3_ret_rec_epa,e4_team_pass_env,e5_sched_def
00-0008484,2008,TB,0,1,1,13.691120147705078,0.03348176346504743,0.021106295544573113
00-0009311,2006,DET,0,0,0,15.243887901306152,-0.051875462369365834,-0.024173719831368807
00-0009311,2007,DET,0,0,0,19.307613372802734,-0.04099457165527846,0.022553232122892126
00-0009311,2010,DAL,0,0,0,4.613552093505859,0.07133380126559366,0.037120744891081164
00-0010346,2006,IND,0,0,0,24.226530075073242,0.24831716826809405,-0.02085311292525057
00-0010346,2007,IND,0,0,0,17.69407081604004,0.2515541074775019,0.02461363720074077
00-0010346,2008,IND,0,0,1,17.105737686157227,0.24094152215458858,0.05689026581698516
00-0010346,2009,IND,0,0,0,12.604336738586426,0.23683760600358145,0.06386225105488087
00-0010346,2012,DEN,0,0,0,15.143168449401855,0.2511488316182803,0.11250056036704552
00-0010346,2013,DEN,0,0,0,10.265006065368652,0.3378794882885373,0.02563122244994759
00-0010346,2014,DEN,0,0,1,8.656048774719238,0.16051673264352995,0.04224352408692893
00-0010609,2008,CHI,0,0,0,11.587682723999023,-0.07958711292582163,0.030094139016018394
00-0011022,2006,PHI,0,0,0,19.637784957885742,0.11052360334442124,0.0090044573778432
00-0011022,2007,PHI,0,0,0,19.624624252319336,0.03479594172587961,0.014810295534649937
00-0011022,2008,PHI,0,0,0,23.349628448486328,0.05600607712173631,0.03950414494692802
00-0011022,2009,WAS,0,1,1,3.5083255767822266,-0.005431942438791014,0.06590823686711825
00-0011022,2010,MIN,0,1,0,-0.2828681170940399,-0.14892981599470276,-0.000432355473428988
00-0011024,2006,BAL,0,0,0,14.860458374023438,0.07645204274288002,0.007434656091130431
00-0011626,2008,BUF,0,0,0,16.74842643737793,-0.049785910726346624,0.04953293821236075
00-0016193,2006,CAR,1,1,0,7.921989917755127,-0.05936436063980223,0.025763120270344157
00-0017200,2006,ARI,0,0,1,16.260679244995117,0.02788562076505053,0.04134125640778774
00-0017200,2007,ARI,0,0,0,15.499348640441895,0.05398945496050572,0.031323033533598305
00-0017200,2008,ARI,0,0,0,25.183719635009766,0.17823624137556468,0.060241129238985766
00-0018272,2006,NYG,0,1,0,12.716629981994629,-0.020484523407129772,0.005341630462463379
00-0019041,2006,LAC,0,0,1,16.620532989501953,0.14375912578520908,-0.0440290908089378
00-0019041,2009,LAC,0,0,0,10.831971168518066,0.30191750653975485,0.047080668515956214
00-0019559,2006,NYJ,0,0,0,14.752116203308105,0.01856065605487348,-0.014835708545614836
00-0019559,2007,MIA,0,1,1,15.267865180969238,-0.0995816140812273,0.03575943471835703
00-0019559,2008,MIA,0,0,0,14.188545227050781,0.150810284826684,0.028372657709783717
00-0019559,2009,MIA,0,0,0,3.804567337036133,-0.0018886335245487662,-0.010056424860706709
00-0019596,2006,NE,0,0,0,20.14969825744629,0.12762259740670062,-0.019138121524665066
00-0019596,2007,NE,0,0,0,23.90446662902832,0.3650953685227493,0.04071998995273188
00-0019596,2008,NE,0,0,0,15.343369483947754,0.12673698024437605,0.026724926637316807
00-0019596,2009,NE,0,0,0,12.583549499511719,0.15647505229643335,-0.010341951652356882
00-0019596,2010,NE,0,0,0,11.642433166503906,0.2534126318487086,0.04094214016670213
00-0019596,2011,NE,0,0,0,15.506706237792969,0.3145530009306069,0.0003947833293183878
00-0019596,2012,NE,0,0,0,5.717235565185547,0.26956156896846784,0.032668183955462754
00-0019596,2013,NE,0,0,0,12.69852066040039,0.11751429044710997,0.04963565364923647
00-0019596,2014,NE,0,0,0,9.996525764465332,0.19098445488040774,0.046410367415542386
00-0019596,2015,NE,0,0,0,12.007424354553223,0.1629784171363877,0.024462897365776223
00-0019596,2016,NE,0,0,0,16.406232833862305,0.2621051181442479,0.051891406437717474
00-0019596,2017,NE,0,0,0,9.419178009033203,0.2390940437454548,0.0397293341262228
00-0019596,2018,NE,0,0,0,9.774925231933594,0.16091266361079887,0.04869950559101503
00-0019596,2019,TB,0,1,0,6.165736198425293,0.06441244382366468,0.0612185675412424
00-0019596,2020,TB,0,0,0,13.281347274780273,0.21871492574806567,0.04964235638149007
00-0019596,2021,TB,0,0,1,8.78807544708252,0.16307914357223754,0.019460305632229696
00-0019599,2006,LA,0,0,0,22.59855079650879,0.09141326241940528,0.022038393350424165
00-0019599,2007,LA,0,0,0,11.832467079162598,-0.15337533428185082,0.020179045236656527
00-0019599,2008,LA,0,0,1,6.959247589111328,-0.20772872196121253,0.05817230388876324
00-0019623,2006,ARI,1,1,1,16.260679244995117,0.02788562076505053,0.04134125640778774
00-0019709,2009,ATL,0,0,0,6.721389293670654,0.08299607988718377,-0.002460547799335331
00-0019709,2010,ATL,0,0,0,4.823339939117432,0.14161808615399585,0.04620921251069408
00-0019714,2011,LV,0,0,1,1.4942781925201416,0.07051028514119945,0.05798013505417532
00-0020245,2009,PHI,0,0,0,7.188258647918701,0.05958780856739636,0.07135049207441688
00-0020245,2010,PHI,0,0,0,8.859844207763672,0.0859567356466768,0.04080659857286404
00-0020245,2011,PHI,0,0,0,5.045902252197266,0.06695324180621101,0.04797931919775521
00-0020245,2012,PHI,0,0,1,4.820176601409912,-0.030419812898101774,0.06503447512972242
00-0020245,2013,NYJ,0,1,0,5.92498779296875,-0.13335530511534494,0.049221309491698596
00-0020245,2014,PIT,0,1,0,7.5569610595703125,0.2293430784701618,0.007201501028376375
00-0020305,2006,PHI,0,0,0,19.637784957885742,0.11052360334442124,0.0090044573778432
