game_id,game_date,season,season_type,week,passer_player_id,passer_player_name,posteam,defteam,plays,epa,cpoe,success,age,log_pick,def_rating,adj_epa,b1_expanding,b2_prev_season,b3_ewma,b4_last12,k_epa,k_adj_epa,k_adj_epa_var,k_cpoe,k_success,k_informed,k_informed_pre,k_informed_var,leaf_v34,leaf_v34_pre,leaf_v34_unrestricted
2006_02_DET_CHI,2006-09-17,2006,REG,2,00-0009311,J.Kitna,DET,CHI,36,-0.003799,18.367454,0.500000,33.987680,5.572154,-0.016258,0.012459,-0.111451,,-0.111451,-0.111451,-0.052824,-0.050666,0.003687,0.004155,0.424060,-0.074804,-0.088159,0.003687,0.021735,0.000807,0.001473
2006_02_DET_CHI,2006-09-17,2006,REG,2,00-0022121,R.Grossman,CHI,DET,27,0.871326,11.827438,0.666667,26.067077,3.091042,0.000899,0.870427,0.438671,,0.438671,0.438671,0.101987,0.101889,0.004008,0.814184,0.465160,0.093177,-0.001134,0.004008,0.101127,0.054030,0.095530
2006_02_HOU_IND,2006-09-17,2006,REG,2,00-0010346,P.Manning,IND,HOU,39,0.685905,11.381375,0.615385,30.483231,0.000000,0.022900,0.663005,0.334053,,0.334053,0.334053,0.111635,0.108401,0.003621,0.285248,0.459613,0.118496,0.028959,0.003621,0.104456,0.056365,0.097767
2006_02_HOU_IND,2006-09-17,2006,REG,2,00-0020608,D.Carr,HOU,IND,30,0.373731,15.624898,0.600000,27.159480,0.000000,0.012655,0.361076,-0.146616,,-0.146616,-0.146616,-0.012489,-0.013964,0.003885,1.006167,0.439289,-0.003114,-0.051159,0.003885,0.060529,0.028512,0.043920
2006_02_KC_DEN,2006-09-17,2006,REG,2,00-0007835,D.Huard,KC,DEN,24,-0.060363,9.900216,0.416667,33.190965,5.572154,-0.016436,-0.043927,-0.200000,,-0.200000,-0.200000,-0.065638,-0.064019,0.004105,0.878664,0.411226,-0.090834,-0.095961,0.004105,0.019790,0.013362,-0.007983
2006_02_KC_DEN,2006-09-17,2006,REG,2,00-0013042,J.Plummer,DEN,KC,30,-0.099254,-3.656156,0.400000,31.745380,3.737670,-0.003276,-0.095978,-0.792051,,-0.792051,-0.792051,-0.141949,-0.141564,0.003915,-1.806541,0.411458,-0.154146,-0.161886,0.003915,-0.025974,-0.027291,-0.046744
2006_02_NE_NYJ,2006-09-17,2006,REG,2,00-0019559,C.Pennington,NYJ,NE,39,0.341036,-0.399943,0.487179,30.225873,2.890372,0.000004,0.341032,0.479329,,0.479329,0.479329,0.074616,0.074615,0.003713,0.293097,0.449179,0.067733,0.021459,0.003713,0.083127,0.064982,0.072209
2006_02_NE_NYJ,2006-09-17,2006,REG,2,00-0019596,T.Brady,NE,NYJ,30,0.286706,-5.967076,0.466667,29.122519,5.293305,-0.021051,0.307757,-0.163998,,-0.163998,-0.163998,-0.021495,-0.018984,0.003976,-1.631163,0.421949,-0.041702,-0.089025,0.003976,0.019512,0.003176,0.002331
2006_02_NO_GB,2006-09-17,2006,REG,2,00-0005106,B.Favre,GB,NO,57,0.106201,-4.663182,0.456140,36.936345,3.496508,-0.017798,0.123999,-0.301625,,-0.301625,-0.301625,-0.046684,-0.043117,0.003516,-1.817820,0.415285,-0.054379,-0.099091,0.003516,0.011507,-0.004393,-0.007962
2006_02_NO_GB,2006-09-17,2006,REG,2,00-0020531,D.Brees,NO,GB,45,0.174862,-0.309209,0.466667,27.671458,3.465736,0.017243,0.157619,0.119282,,0.119282,0.119282,0.006395,0.003536,0.003684,-1.020532,0.434949,-0.006696,-0.039352,0.003684,0.040971,0.026678,0.027606
2006_02_NYG_PHI,2006-09-17,2006,REG,2,00-0011022,D.McNabb,PHI,NYG,46,0.240401,-0.706802,0.500000,29.809719,0.693147,0.019537,0.220864,0.442784,,0.442784,0.442784,0.061403,0.058162,0.003606,-0.496093,0.447100,0.064210,0.033057,0.003606,0.074626,0.060583,0.064816
2006_02_NYG_PHI,2006-09-17,2006,REG,2,00-0022803,E.Manning,NYG,PHI,50,0.263929,10.265488,0.540000,25.702943,0.000000,-0.008607,0.272536,0.269878,,0.269878,0.269878,0.044672,0.046213,0.003580,0.101205,0.458180,0.056207,0.009048,0.003580,0.079701,0.047572,0.073077
2006_02_OAK_BAL,2006-09-17,2006,REG,2,00-0011024,S.McNair,BAL,LV,35,-0.411263,-10.854883,0.285714,33.587953,1.098612,0.013674,-0.424937,0.260412,,0.260412,0.260412,-0.066917,-0.068775,0.003883,-0.884487,0.408123,-0.066222,-0.009799,0.003883,0.013114,0.045975,-0.011647
2006_02_OAK_BAL,2006-09-17,2006,REG,2,00-0023504,A.Walter,LV,BAL,33,-0.731633,-11.880379,0.333333,24.353183,4.234107,-0.050459,-0.681174,-0.613654,,-0.613654,-0.613654,-0.161891,-0.154833,0.004238,-1.984804,0.399739,-0.170256,-0.087175,0.004238,-0.036522,0.003709,-0.061711
2006_02_STL_SF,2006-09-17,2006,REG,2,00-0019599,M.Bulger,LA,SF,40,-0.076762,-0.118086,0.350000,29.451061,5.123964,0.012084,-0.088846,-0.262467,,-0.262467,-0.262467,-0.082467,-0.084242,0.003673,-1.719416,0.396867,-0.104233,-0.106882,0.003673,-0.010869,-0.010934,-0.038143
2006_02_STL_SF,2006-09-17,2006,REG,2,00-0023436,A.Smith,SF,LA,22,0.425203,-15.322445,0.409091,22.362765,0.000000,-0.038050,0.463253,0.180761,,0.180761,0.180761,0.025509,0.028776,0.003903,-1.661030,0.421455,0.041216,0.001578,0.003903,0.049504,0.041181,0.031915
2006_02_TB_ATL,2006-09-17,2006,REG,2,00-0020245,M.Vick,ATL,TB,18,-0.110206,5.903426,0.333333,26.225873,0.000000,0.009762,-0.119968,0.183232,,0.183232,0.183232,-0.032156,-0.032899,0.004226,-1.089529,0.410648,-0.021075,-0.012932,0.004226,0.028602,0.030735,0.005262
2006_02_TB_ATL,2006-09-17,2006,REG,2,00-0022005,C.Simms,TB,ATL,53,-0.228789,-12.883355,0.377358,26.050650,4.574711,-0.026909,-0.201880,-0.898101,,-0.898101,-0.898101,-0.176936,-0.171832,0.003579,-1.553407,0.401226,-0.188150,-0.184937,0.003579,-0.039043,-0.024388,-0.064624
2006_02_TEN_SD,2006-09-17,2006,REG,2,00-0003292,K.Collins,TEN,LAC,19,-0.661562,-19.773528,0.210526,33.713895,1.609438,-0.027575,-0.633987,-0.287444,,-0.287444,-0.287444,-0.133229,-0.131176,0.003919,-2.555582,0.391935,-0.131886,-0.091496,0.003919,-0.029370,-0.004280,-0.056537
2006_02_TEN_SD,2006-09-17,2006,REG,2,00-0022942,P.Rivers,LAC,TEN,35,0.287600,10.917207,0.485714,24.774812,1.386294,0.024262,0.263338,0.740705,,0.740705,0.740705,0.034445,0.030934,0.004135,0.291102,0.439248,0.034847,-0.003814,0.004135,0.068398,0.044346,0.053428
2006_02_TEN_SD,2006-09-17,2006,REG,2,00-0024218,V.Young,TEN,LAC,18,-0.005277,-8.852957,0.333333,23.334702,1.098612,-0.027575,0.022298,-0.221895,,-0.221895,-0.221895,-0.049430,-0.047153,0.004587,-1.154268,0.418839,-0.040705,-0.046375,0.004587,0.023062,0.025998,0.003385
