game_id,game_date,season,week,passer_player_id,passer_player_name,posteam,defteam,qb_epa_mean,qb_epa_sum,qb_epa_count,cpoe_mean,success_mean,attempts
2006_03_DEN_NE,2006-09-24,2006,3,00-0013042,J.Plummer,DEN,NE,0.3586812161752906,10.760436485258717,30,-1.6991562644640605,0.4,30.0
2006_03_DEN_NE,2006-09-24,2006,3,00-0019596,T.Brady,NE,DEN,0.08610222730153584,4.735622501584471,55,-0.8459617062048479,0.41818181818181815,55.0
2006_03_GB_DET,2006-09-24,2006,3,00-0005106,B.Favre,GB,DET,0.6318194766670329,22.745501160013184,36,6.043403574398586,0.5277777777777778,36.0
2006_03_GB_DET,2006-09-24,2006,3,00-0009311,J.Kitna,DET,GB,-0.02758870786382161,-1.1587257302805076,42,0.897138699507102,0.47619047619047616,42.0
2006_03_JAX_IND,2006-09-24,2006,3,00-0010346,P.Manning,IND,JAX,0.06354612574531612,2.097022149595432,33,-13.262229541252399,0.3939393939393939,33.0
2006_03_JAX_IND,2006-09-24,2006,3,00-0022177,B.Leftwich,JAX,IND,-0.22489779001469024,-6.522035910426017,29,-5.006850936583111,0.4482758620689655,29.0
2006_03_NYG_SEA,2006-09-24,2006,3,00-0007091,M.Hasselbeck,SEA,NYG,0.24396277228581972,8.050771485432051,33,11.982007757309944,0.6060606060606061,33.0
2006_03_NYG_SEA,2006-09-24,2006,3,00-0022803,E.Manning,NYG,SEA,-0.03142156477470445,-1.1625978966640647,37,8.69608325617654,0.4594594594594595,37.0
2006_03_NYJ_BUF,2006-09-24,2006,3,00-0011626,B.Moorman,BUF,NYJ,-2.8035673170816153,-2.8035673170816153,1,-41.48496389389038,0.0,1.0
2006_03_NYJ_BUF,2006-09-24,2006,3,00-0019559,C.Pennington,NYJ,BUF,0.10306009394989815,3.0918028184969444,30,-1.8545235906328474,0.43333333333333335,30.0
2006_03_NYJ_BUF,2006-09-24,2006,3,00-0022912,J.Losman,BUF,NYJ,-0.23202207735531588,-9.512905171567951,41,1.464894371373313,0.43902439024390244,41.0
2006_03_PHI_SF,2006-09-24,2006,3,00-0011022,D.McNabb,PHI,SF,0.2875133312300759,10.350479924282732,36,-6.2600549310445786,0.4166666666666667,36.0
2006_03_PHI_SF,2006-09-24,2006,3,00-0023436,A.Smith,SF,PHI,0.011984522741084727,0.575257091572067,48,0.867166422134222,0.4166666666666667,48.0
2006_03_STL_ARI,2006-09-24,2006,3,00-0017200,K.Warner,ARI,LA,-0.014814950432427677,-0.42963356254040264,29,5.602642468043736,0.4827586206896552,29.0
2006_03_STL_ARI,2006-09-24,2006,3,00-0019599,M.Bulger,LA,ARI,0.43697243587191,13.98311794790112,32,5.223290093483463,0.5625,32.0
2006_03_TEN_MIA,2006-09-24,2006,3,00-0003292,K.Collins,TEN,MIA,0.02851137723958573,0.9978982033855006,35,0.8868548003110018,0.42857142857142855,35.0
2006_03_TEN_MIA,2006-09-24,2006,3,00-0003739,D.Culpepper,MIA,TEN,-0.06673328493537148,-2.068731832996516,31,4.3979051021429205,0.41935483870967744,31.0
2006_03_WAS_HOU,2006-09-24,2006,3,00-0002110,M.Brunell,WAS,HOU,0.6435968559767951,17.377115111373467,27,8.040012206350054,0.6666666666666666,27.0
2006_03_WAS_HOU,2006-09-24,2006,3,00-0020608,D.Carr,HOU,WAS,0.05224895500286948,1.5674686500860844,30,-5.579979325595655,0.5666666666666667,30.0
2006_04_ARI_ATL,2006-10-01,2006,4,00-0017200,K.Warner,ARI,ATL,-0.49666477160265105,-11.423289746860974,23,-18.555535288418042,0.43478260869565216,23.0
2006_04_ARI_ATL,2006-10-01,2006,4,00-0020245,M.Vick,ATL,ARI,-0.6412450926167382,-15.389882222801717,24,-0.23486302012488955,0.375,24.0
2006_04_ARI_ATL,2006-10-01,2006,4,00-0024225,M.Leinart,ARI,ATL,-0.2514780646759189,-2.26330258208327,9,-9.977409988641739,0.3333333333333333,9.0
2006_04_CLE_OAK,2006-10-01,2006,4,00-0021337,R.Curry,LV,CLE,-0.4812344912206754,-0.4812344912206754,1,-28.582459688186646,0.0,1.0
2006_04_CLE_OAK,2006-10-01,2006,4,00-0023502,C.Frye,CLE,LV,0.14052609638867097,4.777887277214813,34,12.94714997212092,0.5588235294117647,34.0
2006_04_CLE_OAK,2006-10-01,2006,4,00-0023504,A.Walter,LV,CLE,-0.31293269601883367,-8.449182792508509,27,-21.953552054322284,0.2962962962962963,27.0
2006_04_DAL_TEN,2006-10-01,2006,4,00-0001361,D.Bledsoe,DAL,TEN,0.6916473207476983,13.832946414953966,20,14.955424931314257,0.6,20.0
2006_04_DAL_TEN,2006-10-01,2006,4,00-0024218,V.Young,TEN,DAL,-0.3863458363814659,-11.976720927825443,31,-6.483978444132312,0.3870967741935484,31.0
2006_04_DET_STL,2006-10-01,2006,4,00-0009311,J.Kitna,DET,LA,0.17115571744689426,7.702007285110241,45,6.572716769783995,0.4888888888888889,45.0
2006_04_DET_STL,2006-10-01,2006,4,00-0019599,M.Bulger,LA,DET,0.311494971487591,13.08278880247882,42,3.5764940828084946,0.5238095238095238,42.0
2006_04_GB_PHI,2006-10-02,2006,4,00-0000108,D.Akers,PHI,GB,-0.7023373222327791,-0.7023373222327791,1,,0.0,1.0
2006_04_GB_PHI,2006-10-02,2006,4,00-0005106,B.Favre,GB,PHI,-0.23928830310529958,-10.528685336633181,44,-10.423052033712697,0.4090909090909091,44.0
2006_04_GB_PHI,2006-10-02,2006,4,00-0005755,J.Garcia,PHI,GB,-0.7887255856767297,-0.7887255856767297,1,-62.86972761154175,0.0,1.0
2006_04_GB_PHI,2006-10-02,2006,4,00-0011022,D.McNabb,PHI,GB,0.1200080923128134,4.080275138635655,34,1.5149710178375244,0.38235294117647056,34.0
2006_04_GB_PHI,2006-10-02,2006,4,00-0023459,A.Rodgers,GB,PHI,0.14721469996341816,0.44164409989025444,3,0.9167879819869995,0.3333333333333333,3.0
2006_04_IND_NYJ,2006-10-01,2006,4,00-0010346,P.Manning,IND,NYJ,0.3202161164699646,10.246915727038868,32,11.678608159224192,0.625,32.0
2006_04_IND_NYJ,2006-10-01,2006,4,00-0019559,C.Pennington,NYJ,IND,0.01824965580062081,0.47449105081614107,26,13.174179325933041,0.5384615384615384,26.0
2006_04_JAX_WAS,2006-10-01,2006,4,00-0002110,M.Brunell,WAS,JAX,0.3141948492415301,9.425845477245904,30,-4.005683701613854,0.4666666666666667,30.0
2006_04_JAX_WAS,2006-10-01,2006,4,00-0022177,B.Leftwich,JAX,WAS,0.19212497908311504,7.4928741842414865,39,3.233520160703098,0.38461538461538464,39.0
2006_04_MIA_HOU,2006-10-01,2006,4,00-0003739,D.Culpepper,MIA,HOU,-0.016515063696061847,-0.7101477389306594,43,-4.507919633761048,0.37209302325581395,43.0
2006_04_MIA_HOU,2006-10-01,2006,4,00-0020608,D.Carr,HOU,MIA,0.07245143129365834,2.463348663984384,34,15.767595916986465,0.47058823529411764,34.0
2006_04_MIA_HOU,2006-10-01,2006,4,00-0023437,R.Brown,MIA,HOU,-0.947,-0.947,1,,0.0,1.0
2006_04_MIN_BUF,2006-10-01,2006,4,00-0008442,B.Johnson,MIN,BUF,-0.13761619879724457,-5.917496548281517,43,-0.6201179964201791,0.3953488372093023,43.0
2006_04_MIN_BUF,2006-10-01,2006,4,00-0022912,J.Losman,BUF,MIN,0.12117096528892729,4.240983785112455,35,8.89839231967926,0.5714285714285714,35.0
2006_04_NE_CIN,2006-10-01,2006,4,00-0019596,T.Brady,NE,CIN,0.19974308683495084,5.193320257708722,26,-0.16892671585083008,0.5,26.0
2006_04_NE_CIN,2006-10-01,2006,4,00-0021429,C.Palmer,CIN,NE,-0.25993826315877105,-10.13759226319207,39,-3.875332304409572,0.4358974358974359,39.0
2006_04_NO_CAR,2006-10-01,2006,4,00-0004161,J.Delhomme,CAR,NO,0.1564590127110326,4.693770381330978,30,2.711050880366358,0.5333333333333333,30.0
2006_04_NO_CAR,2006-10-01,2006,4,00-0020531,D.Brees,NO,CAR,0.3978338662558312,15.515520783977419,39,12.628667184284755,0.5897435897435898,39.0
2006_04_SD_BAL,2006-10-01,2006,4,00-0011024,S.McNair,BAL,LAC,-0.06279335441286094,-2.00938734121155,32,-3.1130834420522056,0.375,32.0
2006_04_SD_BAL,2006-10-01,2006,4,00-0022017,M.Scifres,LAC,BAL,-1.739476672373712,-1.739476672373712,1,,0.0,1.0
2006_04_SD_BAL,2006-10-01,2006,4,00-0022942,P.Rivers,LAC,BAL,0.10286967040843438,2.3660024193939906,23,-6.917690336704254,0.5217391304347826,23.0
2006_04_SEA_CHI,2006-10-01,2006,4,00-0007091,M.Hasselbeck,SEA,CHI,-0.40659851566669286,-16.263940626667715,40,-13.559096131254645,0.3,40.0
2006_04_SEA_CHI,2006-10-01,2006,4,00-0022055,S.Wallace,SEA,CHI,-0.3791903384262696,-0.7583806768525392,2,-8.87601524591446,0.0,2.0
2006_04_SEA_CHI,2006-10-01,2006,4,00-0022121,R.Grossman,CHI,SEA,0.2760007762070671,8.832024838626147,32,-0.5356582005818685,0.4375,32.0
